Survey ID,Room Rate Clean,Room Number Clean,Room Type Clean,Survey language,Arrival Date,Departure Date,Loyalty Program Tier,Mobile Check-In,Intent to Recommend (Property),Cleanliness,Staff Service,Food and Beverage,Maintenance and Upkeep,Design and Décor,Overall Score
107,169,1502,CK,English,1/8/2024,1/11/2024,Titanium,No,10,10,10,10,10,10,5
112,209,804,GK,English,1/13/2024,1/14/2024,Member,Yes,10,10,10,10,10,10,5
115,200,1520,CK,English,1/10/2024,1/12/2024,Platinum,Yes,9,10,10,2,10,10,4.5
116,244,1404,GK,English,1/8/2024,1/13/2024,Member,No,10,10,10,10,10,10,5
117,175,1021,PK,English,1/11/2024,1/12/2024,Platinum,Yes,10,10,10,10,10,10,5
118,169,403,GQ,English,1/10/2024,1/11/2024,Member,No,10,10,10,10,10,10,5
119,236.8,1007,PQ,English,1/2/2024,1/7/2024,Silver,No,8,5,7,5,6,9,4
120,175,1219,PQ,English,1/9/2024,1/12/2024,Ambassador,Yes,8,9,8,7,8,7,4
122,184,1204,GK,English,1/8/2024,1/10/2024,Member,No,8,8,10,5,10,9,4
125,177.5,1521,CK,English,1/4/2024,1/10/2024,Titanium,Yes,10,10,10,9,10,10,5
131,214,401,GK,English,1/2/2024,1/6/2024,Member,No,6,5,8,9,6,2,3
132,209,322,GK,English,12/31/2023,1/1/2024,Gold,Yes,10,10,10,10,10,10,5
133,171,1720,CK,English,12/29/2023,12/31/2023,Platinum,No,7,9,10,8,7,7,3.5
135,204,1403,PQ,English,12/26/2023,12/30/2023,Member,Yes,8,8,10,8,8,8,4
136,224,1416,GQ,English,12/15/2023,12/29/2023,Silver,No,10,10,10,10,10,10,5
139,152,1719,CK,English,12/23/2023,12/25/2023,Ambassador,No,9,9,9,9,9,9,4.5
140,199,305,GQ,English,12/26/2023,12/29/2023,Titanium,No,10,10,10,10,10,10,5
141,203,1708,CK,English,12/30/2023,12/31/2023,Member,Yes,8,,,,,,4
142,171,1225,PK,English,12/28/2023,1/1/2024,Silver,Yes,10,8,10,10,8,10,5
145,233,1205,PK,English,12/28/2023,1/1/2024,Silver,Yes,3,4,8,9,3,9,1.5
146,178,1109,PK,English,12/30/2023,12/31/2023,Member,Yes,1,3,3,3,2,3,0.5
148,190.67,214,GQ,English,12/26/2023,12/31/2023,Silver,No,1,5,1,5,5,4,0.5
149,264.5,1004,GK,English,12/27/2023,12/30/2023,Gold,No,9,10,9,9,9,7,4.5
151,171,1518,CK,English,12/28/2023,12/29/2023,Member,No,9,10,8,7,5,5,4.5
152,144,1725,CK,English,12/25/2023,12/26/2023,Platinum,Yes,10,10,10,10,10,10,5
155,171.5,1707,CK,English,12/16/2023,12/23/2023,Platinum,Yes,8,5,8,8,7,9,4
158,139,1217,PK,English,12/22/2023,12/25/2023,Gold,No,8,9,7,9,9,9,4
159,178,1006,GQ,English,12/22/2023,12/27/2023,Member,No,8,8,8,7,7,6,4
161,184,1405,PK,English,12/14/2023,12/15/2023,Platinum,No,5,8,9,8,3,8,2.5
162,143.65,822,GK,English,12/24/2023,12/26/2023,Member,Yes,4,8,,1,8,,2
163,224,1418,GQ,English,12/21/2023,12/22/2023,Gold,Yes,10,10,10,10,10,8,5
164,144,1420,GK,English,12/25/2023,12/26/2023,Silver,No,10,10,10,10,10,10,5
166,144,1216,GK,English,12/20/2023,12/22/2023,Silver,Yes,10,10,10,10,10,10,5
167,169,1624,CK,English,12/18/2023,12/21/2023,Titanium,No,10,10,10,10,10,9,5
169,160.65,1112,GK,English,12/21/2023,12/25/2023,Silver,Yes,1,3,7,7,2,3,0.5
172,169,1505,CK,English,12/20/2023,12/25/2023,Member,No,7,7,7,,7,7,3.5
173,199,1205,PK,English,12/18/2023,12/20/2023,Silver,No,10,10,10,10,10,10,5
174,201.25,1502,CK,English,12/14/2023,12/18/2023,Platinum,No,9,9,10,10,9,10,4.5
176,261.5,812,GK,English,12/11/2023,12/15/2023,Member,No,9,8,9,9,8,8,4.5
178,160.65,1418,GQ,English,12/19/2023,12/20/2023,Member,No,1,1,1,1,1,1,0.5
179,204,521,GQ,English,12/14/2023,12/15/2023,Member,No,10,10,10,10,10,10,5
181,169,1120,GK,English,12/14/2023,12/17/2023,Member,No,5,7,7,7,2,5,2.5
182,185,1519,CK,English,12/12/2023,12/20/2023,Ambassador,Yes,3,3,2,7,2,7,1.5
187,179,324,GK,English,12/15/2023,12/17/2023,Silver,No,10,9,10,9,10,9,5
188,189,1602,CK,English,12/13/2023,12/15/2023,Titanium,No,9,9,9,9,9,9,4.5
192,175,1103,PK,English,12/13/2023,12/14/2023,Platinum,Yes,3,3,7,7,8,7,1.5
194,194,1003,PK,English,12/8/2023,12/9/2023,Platinum,No,10,10,10,10,10,10,5
196,199,1507,JKA,English,12/12/2023,12/13/2023,Titanium,No,10,10,10,10,10,10,5
197,440,1623,CK,English,12/10/2023,12/11/2023,Member,No,9,,,,,,4.5
199,199,625,PK,English,11/30/2023,12/3/2023,Member,No,10,10,10,8,10,8,5
201,371,1121,PK,English,12/4/2023,12/5/2023,Silver,Yes,10,8,10,,,8,5
202,185.07,225,GK,English,11/28/2023,12/2/2023,Member,No,10,9,10,10,10,8,5
205,169,1016,GK,English,11/27/2023,12/3/2023,Member,Yes,6,7,9,8,7,8,3
207,159,1017,PQ,English,12/2/2023,12/3/2023,Member,No,3,10,1,10,10,9,1.5
208,185,806,GQ,English,12/4/2023,12/7/2023,Silver,No,9,9,10,9,8,9,4.5
212,175,616,GQ,English,11/30/2023,12/3/2023,Member,No,5,9,6,8,8,8,2.5
216,214,903,PK,English,12/2/2023,12/4/2023,Member,No,3,8,7,5,8,5,1.5
219,239,1110,GQ,English,11/30/2023,12/1/2023,Gold,No,8,10,10,10,9,10,4
220,208,809,GDA,English,12/2/2023,12/3/2023,Member,No,5,10,7,8,8,8,2.5
221,204,1117,PQ,English,11/28/2023,11/29/2023,Titanium,Yes,9,7,10,10,7,7,4.5
222,189,506,GQ,English,11/23/2023,11/26/2023,Member,No,8,8,7,8,7,8,4
223,199,424,GK,English,11/27/2023,11/30/2023,Member,No,10,10,10,10,10,10,5
225,178,1008,GQ,English,12/1/2023,12/2/2023,Member,No,10,10,10,10,10,10,5
228,84.5,1015,PQ,English,11/29/2023,12/2/2023,Platinum,No,10,10,10,8,8,8,5
230,179,1209,PK,English,11/29/2023,12/1/2023,Titanium,No,9,9,9,8,9,9,4.5
231,188,1225,PK,English,11/28/2023,11/30/2023,Silver,Yes,2,9,9,,9,1,1
232,169,1202,GK,English,11/26/2023,11/27/2023,Member,Yes,1,10,10,2,10,4,0.5
233,199,1020,GK,English,11/24/2023,11/29/2023,Member,No,4,10,10,,10,5,2
235,185.07,304,GK,English,11/27/2023,11/30/2023,Member,No,5,5,8,,3,7,2.5
236,179.1,1402,GK,English,11/24/2023,11/26/2023,Silver,No,8,9,9,6,7,8,4
237,209,224,GK,English,11/24/2023,11/26/2023,Member,No,10,10,10,10,10,10,5
238,189,1004,GK,English,11/25/2023,11/26/2023,Silver,No,10,10,10,10,10,10,5
239,199,1205,PK,English,11/24/2023,11/25/2023,Member,No,1,7,1,7,7,7,0.5
240,194,1118,GQ,English,11/27/2023,11/30/2023,Gold,Yes,10,10,10,10,9,10,5
242,179,602,GK,English,11/27/2023,11/28/2023,Member,No,9,8,10,8,8,8,4.5
244,169,909,PK,English,11/27/2023,11/28/2023,Member,No,10,10,10,10,9,10,5
245,189,612,GQ,English,11/23/2023,11/26/2023,Member,No,10,10,10,10,9,8,5
246,189,517,GQ,English,11/22/2023,11/24/2023,Silver,No,10,10,10,10,10,5,5
247,227.33,1612,CQ,English,11/24/2023,11/27/2023,Silver,Yes,4,8,5,2,5,6,2
248,185.07,1216,GK,English,11/23/2023,11/24/2023,Gold,Yes,7,6,10,,9,10,3.5
249,231,1705,CK,English,11/25/2023,11/27/2023,Titanium,No,10,9,10,7,9,8,5
251,199,402,GK,English,11/25/2023,11/27/2023,Member,No,10,10,10,10,10,10,5
252,214,625,PK,English,11/24/2023,11/25/2023,Gold,No,10,9,10,,9,9,5
255,179.1,725,PK,English,11/23/2023,11/26/2023,Member,No,10,10,10,5,10,10,5
258,219,511,GQ,English,11/22/2023,11/25/2023,Member,No,10,10,10,10,10,10,5
259,179,1622,CK,English,11/20/2023,11/25/2023,Platinum,No,10,10,10,10,10,10,5
260,183.5,1002,GK,English,11/23/2023,11/25/2023,Gold,No,8,10,8,1,8,8,4
261,175,915,PQ,English,11/19/2023,11/21/2023,Platinum,Yes,8,8,8,8,8,8,4
263,169,1723,CK,English,11/22/2023,11/25/2023,Titanium,Yes,10,10,10,10,10,10,5
264,186.5,822,GK,English,11/21/2023,11/25/2023,Member,No,9,9,9,8,7,9,4.5
266,166.33,1503,CK,English,11/22/2023,11/25/2023,Silver,No,7,5,10,9,5,4,3.5
268,185.1,1120,GK,English,11/21/2023,11/24/2023,Member,No,10,10,10,10,9,10,5
269,179,1514,CK,English,11/18/2023,11/24/2023,Titanium,No,10,,,,,,5
271,192.6,1218,GK,English,11/23/2023,11/24/2023,Gold,No,10,9,9,9,9,9,5
272,161,1202,GK,English,11/23/2023,11/24/2023,Member,Yes,9,9,10,10,10,9,4.5
277,194,1017,PQ,English,10/30/2023,11/17/2023,Titanium,No,10,10,10,10,10,9,5
279,154.13,525,CK,English,11/18/2023,11/20/2023,Member,No,4,6,1,5,5,4,2
280,178,1004,GK,English,11/17/2023,11/19/2023,Member,No,10,10,10,10,10,10,5
281,218.67,1716,CK,English,11/13/2023,11/17/2023,Titanium,Yes,10,10,10,10,10,10,5
282,170.5,1215,PK,English,11/19/2023,11/21/2023,Titanium,Yes,10,10,10,10,10,10,5
283,349,1712,CQ,English,11/17/2023,11/19/2023,Member,No,8,,,,,,4
285,204,818,GK,English,11/17/2023,11/19/2023,Member,No,8,7,7,7,7,7,4
286,255.6,1007,PQ,English,11/11/2023,11/12/2023,Member,No,10,10,10,10,10,10,5
287,224,1520,CK,English,11/19/2023,11/20/2023,Platinum,Yes,9,9,9,8,9,9,4.5
288,194,707,PQ,English,11/6/2023,11/16/2023,Silver,Yes,10,10,10,10,10,10,5
289,292.33,1109,PK,English,11/11/2023,11/16/2023,Member,Yes,8,10,8,9,8,10,4
291,186.33,304,GK,English,11/13/2023,11/17/2023,Silver,Yes,10,7,10,10,7,9,5
292,194.37,1222,GK,English,11/17/2023,11/18/2023,Member,Yes,10,8,10,9,8,8,5
293,219.6,1601,ES,English,11/14/2023,11/17/2023,Ambassador,Yes,10,10,10,10,10,10,5
294,189,1115,PQ,English,11/13/2023,11/17/2023,Member,No,8,8,7,7,8,9,4
295,185.07,1102,GK,English,11/16/2023,11/19/2023,Member,No,7,10,8,5,9,9,3.5
297,189,1204,GK,English,11/11/2023,11/14/2023,Silver,No,10,10,10,10,10,10,5
298,319,1217,PK,English,11/11/2023,11/12/2023,Member,Yes,10,10,10,,10,10,5
301,254,1418,GQ,English,11/13/2023,11/15/2023,Member,No,7,5,,,,7,3.5
302,178,1101,PK,English,11/13/2023,11/14/2023,Platinum,Yes,10,10,10,10,10,10,5
307,203.33,501,GK,English,11/9/2023,11/13/2023,Gold,No,10,9,10,9,9,9,5
308,169,1514,CK,English,11/9/2023,11/13/2023,Titanium,Yes,10,9,10,4,9,10,5
311,194,206,GQ,English,11/13/2023,11/14/2023,Member,No,6,3,10,8,6,6,3
313,194,811,PQ,English,11/10/2023,11/13/2023,Titanium,No,10,10,10,10,10,10,5
314,222.5,710,GDA,English,11/5/2023,11/12/2023,Gold,No,10,10,10,10,10,10,5
315,219.5,1606,CK,English,11/11/2023,11/13/2023,Member,Yes,9,10,10,10,10,9,4.5
317,251,1103,PK,English,11/10/2023,11/12/2023,Member,No,9,10,9,9,9,9,4.5
318,212,1720,CK,English,11/9/2023,11/12/2023,Member,No,10,9,10,10,9,10,5
320,309,619,PQ,English,11/10/2023,11/12/2023,Platinum,Yes,3,1,2,2,1,5,1.5
322,269,1522,CK,English,11/9/2023,11/12/2023,Silver,Yes,1,1,8,7,1,4,0.5
324,209.1,1124,GK,English,11/5/2023,11/10/2023,Titanium,Yes,9,,,,,,4.5
329,228.47,322,GK,English,11/7/2023,11/11/2023,Gold,No,10,10,10,5,10,10,5
330,194,1018,GQ,English,11/6/2023,11/9/2023,Silver,No,10,10,10,,8,10,5
333,186,704,GQ,English,11/6/2023,11/10/2023,Member,No,7,3,8,8,3,7,3.5
334,233.1,1201,PK,English,11/3/2023,11/6/2023,Silver,Yes,9,10,10,9,10,10,4.5
335,199,711,PQ,English,11/5/2023,11/9/2023,Silver,No,9,9,9,9,7,9,4.5
336,186,503,GQ,English,11/6/2023,11/7/2023,Gold,No,10,10,10,10,10,10,5
337,229,1607,CK,English,11/2/2023,11/4/2023,Ambassador,Yes,10,10,10,10,10,10,5
339,165,619,PQ,English,11/3/2023,11/5/2023,Member,No,10,10,10,5,10,10,5
340,264,1116,GQ,English,11/5/2023,11/6/2023,Silver,No,9,10,9,10,9,9,4.5
341,189,219,GQ,English,11/3/2023,11/6/2023,Silver,No,6,,9,,,,3
344,210.6,1408,GK,English,11/3/2023,11/4/2023,Titanium,No,10,8,10,7,7,7,5
346,237.6,1222,GK,English,11/3/2023,11/5/2023,Platinum,Yes,7,8,10,10,7,8,3.5
349,199,1725,CK,English,11/3/2023,11/5/2023,Member,Yes,10,10,10,10,10,10,5
350,218,1723,CK,English,11/3/2023,11/5/2023,Silver,No,2,7,7,8,5,5,1
351,271,516,GQ,English,11/2/2023,11/5/2023,Member,No,10,9,10,8,10,8,5
352,239,204,GKA,English,11/4/2023,11/5/2023,Silver,Yes,10,10,10,10,10,10,5
353,332,1418,GQ,English,11/4/2023,11/5/2023,Member,No,10,10,10,10,10,10,5
357,219,1215,PK,English,11/2/2023,11/3/2023,Member,No,5,3,8,10,1,10,2.5
359,201.6,723,PQ,English,10/26/2023,10/29/2023,Gold,No,10,9,10,9,9,9,5
364,244,912,GK,English,10/26/2023,10/28/2023,Member,Yes,10,10,10,7,9,8,5
365,229,701,PK,English,10/29/2023,11/1/2023,Silver,No,9,9,9,9,9,9,4.5
367,220.4,1420,GK,English,10/25/2023,11/1/2023,Member,No,10,10,10,10,10,10,5
369,209,914,GQ,English,10/23/2023,10/27/2023,Member,No,10,10,10,10,10,10,5
371,222.27,602,GK,English,10/27/2023,10/29/2023,Member,No,9,9,10,10,10,10,4.5
374,208,914,GQ,English,10/28/2023,10/29/2023,Silver,No,10,,,,,,5
375,250,1415,PK,English,10/27/2023,10/30/2023,Platinum,No,4,3,5,1,3,6,2
376,224,1218,GK,English,10/29/2023,10/30/2023,Silver,No,8,9,6,8,8,9,4
378,251.67,705,PQ,English,10/26/2023,10/29/2023,Silver,No,5,7,9,9,7,7,2.5
379,254,725,PK,English,10/26/2023,10/29/2023,Member,No,8,8,8,7,6,7,4
380,199,1503,CK,English,10/28/2023,10/29/2023,Member,No,10,10,10,10,10,10,5
383,209,801,PK,English,10/28/2023,10/29/2023,Member,Yes,7,5,9,,5,9,3.5
384,203,1216,GK,English,10/24/2023,10/26/2023,Platinum,No,6,8,9,5,3,3,3
385,194,503,GQ,English,10/24/2023,10/26/2023,Silver,No,5,4,7,6,5,5,2.5
386,245.65,325,GK,English,10/21/2023,10/22/2023,Member,Yes,10,9,10,7,8,8,5
388,189,1408,GK,English,10/20/2023,10/22/2023,Silver,No,10,8,8,8,8,8,5
389,270,1414,GQ,English,10/20/2023,10/22/2023,Silver,Yes,10,9,10,8,10,10,5
390,239,1624,CK,English,10/23/2023,10/24/2023,Titanium,No,10,10,8,10,7,10,5
391,229,1604,CK,English,10/23/2023,10/24/2023,Titanium,No,10,10,10,8,10,9,5
393,259,1004,GK,English,10/20/2023,10/21/2023,Silver,No,10,,,,,,5
394,238.33,1201,PK,English,10/19/2023,10/22/2023,Member,Yes,8,8,10,8,8,8,4
395,199,1523,CQ,English,10/20/2023,10/22/2023,Platinum,No,10,9,9,9,9,9,5
396,258,203,GKA,English,10/19/2023,10/22/2023,Silver,No,10,8,9,9,5,9,5
399,194,1619,CK,English,10/23/2023,10/25/2023,Ambassador,Yes,3,7,2,5,7,5,1.5
400,216,1111,PK,English,10/19/2023,10/21/2023,Member,Yes,9,9,,,9,,4.5
401,240.88,1214,GK,English,10/21/2023,10/25/2023,Titanium,Yes,5,9,6,8,7,8,2.5
402,249,1523,CQ,English,10/23/2023,10/25/2023,Platinum,Yes,10,10,10,10,10,10,5
403,254.33,803,PK,English,10/14/2023,10/17/2023,Silver,No,9,9,9,9,9,8,4.5
404,199,1106,GQ,English,10/14/2023,10/15/2023,Member,No,3,7,8,8,7,8,1.5
405,199,1118,GQ,English,10/12/2023,10/15/2023,Member,No,8,9,7,10,9,9,4
406,169,206,GQ,English,10/19/2023,10/20/2023,Platinum,Yes,1,2,1,1,3,3,0.5
407,237.33,1106,GQ,English,10/19/2023,10/22/2023,Member,Yes,10,10,10,9,9,8,5
408,263.5,1221,PK,English,10/16/2023,10/20/2023,Silver,No,10,10,10,,10,10,5
409,165,601,PK,English,10/15/2023,10/20/2023,Silver,No,8,8,8,8,10,6,4
410,289,1506,CK,English,10/20/2023,10/22/2023,Gold,Yes,8,8,10,7,7,8,4
411,258,1208,GDA,English,10/19/2023,10/22/2023,Member,No,10,9,10,10,10,10,5
412,255.6,1019,PK,English,10/19/2023,10/22/2023,Silver,No,9,9,9,9,9,9,4.5
413,242,803,PK,English,10/19/2023,10/22/2023,Silver,No,8,8,7,8,6,6,4
415,237.5,809,GDA,English,10/19/2023,10/21/2023,Gold,Yes,9,8,10,6,8,9,4.5
417,304,611,PQ,English,10/14/2023,10/15/2023,Gold,Yes,8,10,10,,10,10,4
418,303,1722,CK,English,10/21/2023,10/22/2023,Member,No,10,10,10,10,10,10,5
419,254,710,GDA,English,10/16/2023,10/19/2023,Member,Yes,1,,,,,,0.5
420,359,1410,GQ,English,10/20/2023,10/21/2023,Silver,No,10,10,10,10,10,10,5
421,244,621,PQ,English,10/18/2023,10/20/2023,Member,No,6,10,8,9,9,6,3
426,165,1021,PK,English,10/15/2023,10/20/2023,Silver,No,6,4,8,7,5,7,3
428,102.5,1522,CK,English,10/12/2023,10/19/2023,Gold,No,10,10,10,10,10,10,5
429,194,1416,GQ,English,10/17/2023,10/19/2023,Platinum,No,10,10,10,8,10,9,5
430,229,511,GQ,English,10/13/2023,10/15/2023,Member,No,10,10,10,9,10,9,5
432,246.6,905,PQ,English,10/12/2023,10/15/2023,Member,Yes,10,10,10,10,10,10,5
433,212,902,GK,English,10/16/2023,10/17/2023,Member,No,9,10,10,,10,10,4.5
436,175.56,1406,GQ,English,10/17/2023,10/18/2023,Silver,No,5,7,6,7,7,8,2.5
437,194,1622,CK,English,10/15/2023,10/16/2023,Platinum,Yes,2,5,8,5,1,5,1
438,255.6,1418,GQ,English,10/14/2023,10/15/2023,Silver,No,7,5,7,7,5,9,3.5
439,264.6,212,GQ,English,10/15/2023,10/15/2023,Member,No,6,,,,,,3
442,275,221,GQ,English,10/14/2023,10/15/2023,Member,No,10,10,10,10,10,10,5
443,234,717,PQ,English,10/10/2023,10/12/2023,Gold,Yes,10,10,10,10,10,10,5
444,250.17,425,GK,English,10/14/2023,10/15/2023,Member,Yes,9,8,8,5,8,8,4.5
445,219,1618,CK,English,10/9/2023,10/12/2023,Titanium,No,10,10,10,10,10,10,5
446,262.2,1722,CK,English,10/6/2023,10/12/2023,Member,No,8,10,10,9,8,8,4
447,269,1614,CKA,English,10/15/2023,10/16/2023,Member,Yes,10,10,9,9,9,9,5
450,242,1711,ES,English,10/14/2023,10/15/2023,Platinum,Yes,10,10,10,8,10,8,5
451,284,823,PQ,English,10/12/2023,10/14/2023,Gold,Yes,9,9,9,7,8,8,4.5
455,260.1,907,PQ,English,10/13/2023,10/15/2023,Titanium,Yes,10,10,10,9,10,8,5
456,161,418,GQ,English,9/17/2023,9/29/2023,Titanium,No,9,9,9,10,9,9,4.5
458,228.5,624,GK,English,10/6/2023,10/8/2023,Member,No,10,10,10,,10,7,5
459,186.33,1623,CK,English,10/9/2023,10/13/2023,Titanium,Yes,10,10,10,10,10,10,5
460,244,903,PK,English,10/7/2023,10/9/2023,Gold,No,7,7,8,8,6,6,3.5
461,161,1511,CQ,English,9/17/2023,9/23/2023,Member,No,8,7,7,7,7,7,4
466,200,1104,GK,English,10/10/2023,10/12/2023,Platinum,Yes,9,8,9,9,8,9,4.5
467,185,1121,PK,English,10/9/2023,10/12/2023,Titanium,Yes,10,8,9,9,7,8,5
468,249,1615,CK,English,10/6/2023,10/7/2023,Titanium,Yes,10,10,10,10,10,10,5
469,203.67,1214,GK,English,10/10/2023,10/11/2023,Titanium,Yes,10,10,10,10,10,10,5
470,308.6,1125,PK,English,10/2/2023,10/7/2023,Member,No,10,10,10,10,9,10,5
472,319,1717,CQ,English,10/9/2023,10/10/2023,Member,Yes,10,10,10,8,10,7,5
473,271.4,909,PK,English,10/1/2023,10/6/2023,Gold,No,10,10,10,10,10,10,5
476,264,1407,JS,English,10/6/2023,10/9/2023,Platinum,Yes,10,10,10,10,10,10,5
478,282.33,821,PQ,English,10/6/2023,10/9/2023,Member,No,9,9,10,9,9,9,4.5
479,259,701,PK,English,10/4/2023,10/5/2023,Member,Yes,10,9,10,10,9,10,5
481,314.1,219,GQ,English,10/3/2023,10/4/2023,Member,Yes,9,9,10,9,9,8,4.5
482,209,402,GK,English,10/4/2023,10/8/2023,Member,No,10,10,10,,10,10,5
487,212,303,GK,English,10/7/2023,10/8/2023,Member,No,10,10,10,4,10,10,5
490,269.1,504,GQ,English,10/3/2023,10/4/2023,Silver,No,10,10,10,10,10,10,5
491,161,504,GQ,English,9/17/2023,9/23/2023,Member,No,10,9,9,9,9,8,5
492,246.6,1112,GK,English,10/7/2023,10/8/2023,Member,No,1,1,10,10,1,7,0.5
493,239,920,GQ,English,10/1/2023,10/2/2023,Member,Yes,10,10,10,7,10,9,5
494,240.33,220,GQ,English,10/3/2023,10/6/2023,Gold,Yes,7,9,9,7,8,6,3.5
495,161,822,GK,English,9/16/2023,9/23/2023,Non-Member,No,7,7,8,7,6,8,3.5
497,194,517,GQ,English,10/6/2023,10/7/2023,Member,No,10,9,10,10,10,10,5
